,cg_date_time,wattmeter_wattage,pre_wattage,pre_pre_wattage
155,2022-04-28 10:08:11.877,2638.72,2604.63,2590.11
156,2022-04-28 10:08:22.159,2638.84,2604.63,2590.11
157,2022-04-28 10:08:32.503,2638.96,2604.63,2590.11
158,2022-04-28 10:08:42.801,2639.09,2604.63,2590.11
159,2022-04-28 10:08:53.129,2639.22,2604.63,2590.11
160,2022-04-28 10:09:03.442,2639.34,2604.63,2590.11
161,2022-04-28 10:09:13.755,2639.46,2604.63,2590.11
162,2022-04-28 10:09:24.068,2639.59,2604.63,2590.11
163,2022-04-28 10:09:34.381,2639.72,2604.63,2590.11
164,2022-04-28 10:09:44.710,2639.84,2604.63,2590.11
165,2022-04-28 10:09:55.007,2639.97,2604.63,2590.11
166,2022-04-28 10:10:05.320,2640.1,2604.63,2590.11
167,2022-04-28 10:10:15.649,2640.22,2604.63,2590.11
168,2022-04-28 10:10:25.962,2640.35,2604.63,2590.11
169,2022-04-28 10:10:36.056,2640.48,2604.63,2590.11
170,2022-04-28 10:10:46.572,2640.6,2604.63,2590.11
171,2022-04-28 10:10:56.885,2640.73,2604.63,2590.11
172,2022-04-28 10:11:07.198,2640.86,2604.63,2590.11
173,2022-04-28 10:11:17.527,2640.98,2604.63,2590.11
174,2022-04-28 10:11:27.840,2641.11,2604.63,2590.11
175,2022-04-28 10:11:38.137,2641.24,2604.63,2590.11
176,2022-04-28 10:11:48.450,2641.36,2604.63,2590.11
177,2022-04-28 10:11:58.779,2641.48,2604.63,2590.11
178,2022-04-28 10:12:09.061,2641.62,2604.63,2590.11
179,2022-04-28 10:12:19.405,2641.74,2604.63,2590.11
180,2022-04-28 10:12:29.702,2641.86,2604.63,2590.11
181,2022-04-28 10:12:40.015,2642.0,2604.63,2590.11
182,2022-04-28 10:12:50.328,2642.12,2604.63,2590.11
183,2022-04-28 10:13:00.641,2642.25,2604.63,2590.11
184,2022-04-28 10:13:10.954,2642.38,2604.63,2590.11
185,2022-04-28 10:13:21.267,2642.51,2604.63,2590.11
186,2022-04-28 10:13:31.580,2642.63,2604.63,2590.11
187,2022-04-28 10:13:41.893,2642.76,2604.63,2590.11
188,2022-04-28 10:13:52.175,2642.89,2604.63,2590.11
189,2022-04-28 10:14:02.503,2643.01,2604.63,2590.11
190,2022-04-28 10:14:12.785,2643.14,2604.63,2590.11
191,2022-04-28 10:14:23.145,2643.26,2604.63,2590.11
192,2022-04-28 10:14:33.458,2643.36,2604.63,2590.11
193,2022-04-28 10:14:43.771,2643.46,2604.63,2590.11
194,2022-04-28 10:14:54.068,2643.57,2604.63,2590.11
195,2022-04-28 10:15:04.397,2643.67,2604.63,2590.11
196,2022-04-28 10:15:14.538,2643.77,2604.63,2590.11
197,2022-04-28 10:15:25.023,2643.88,2604.63,2590.11
198,2022-04-28 10:15:35.336,2643.97,2604.63,2590.11
199,2022-04-28 10:15:45.649,2644.07,2604.63,2590.11
200,2022-04-28 10:15:55.962,2644.18,2604.63,2590.11
201,2022-04-28 10:16:06.275,2644.28,2604.63,2590.11
202,2022-04-28 10:16:16.588,2644.38,2604.63,2590.11
203,2022-04-28 10:16:26.838,2644.48,2604.63,2590.11
204,2022-04-28 10:16:37.214,2644.55,2604.63,2590.11
205,2022-04-28 10:16:47.527,2644.61,2604.63,2590.11
206,2022-04-28 10:16:57.856,2644.68,2604.63,2590.11
207,2022-04-28 10:17:08.153,2644.75,2604.63,2590.11
208,2022-04-28 10:17:18.450,2644.82,2604.63,2590.11
209,2022-04-28 10:17:28.779,2644.88,2604.63,2590.11
210,2022-04-28 10:17:39.092,2644.95,2604.63,2590.11
211,2022-04-28 10:17:49.405,2645.02,2604.63,2590.11
212,2022-04-28 10:17:59.718,2645.09,2604.63,2590.11
213,2022-04-28 10:18:10.015,2645.16,2604.63,2590.11
214,2022-04-28 10:18:20.281,2645.23,2604.63,2590.11
215,2022-04-28 10:18:30.657,2645.29,2604.63,2590.11
216,2022-04-28 10:18:40.985,2645.36,2604.63,2590.11
217,2022-04-28 10:18:51.252,2645.43,2604.63,2590.11
218,2022-04-28 10:19:01.596,2645.5,2604.63,2590.11
219,2022-04-28 10:19:11.909,2645.57,2604.63,2590.11
220,2022-04-28 10:19:22.222,2645.64,2604.63,2590.11
221,2022-04-28 10:19:32.535,2645.7,2604.63,2590.11
222,2022-04-28 10:19:42.801,2645.78,2604.63,2590.11
223,2022-04-28 10:19:53.161,2645.84,2604.63,2590.11
224,2022-04-28 10:20:03.458,2645.91,2604.63,2590.11
225,2022-04-28 10:20:13.787,2645.97,2604.63,2590.11
226,2022-04-28 10:20:24.053,2646.05,2604.63,2590.11
227,2022-04-28 10:20:34.413,2646.11,2604.63,2590.11
228,2022-04-28 10:20:44.741,2646.18,2604.63,2590.11
229,2022-04-28 10:20:55.054,2646.25,2604.63,2590.11
230,2022-04-28 10:21:05.336,2646.32,2604.63,2590.11
231,2022-04-28 10:21:15.665,2646.39,2604.63,2590.11
232,2022-04-28 10:21:25.978,2646.46,2604.63,2590.11
233,2022-04-28 10:21:36.306,2646.53,2604.63,2590.11
234,2022-04-28 10:21:46.619,2646.59,2604.63,2590.11
235,2022-04-28 10:21:56.917,2646.66,2604.63,2590.11
236,2022-04-28 10:22:07.230,2646.73,2604.63,2590.11
237,2022-04-28 10:22:17.543,2646.8,2604.63,2590.11
238,2022-04-28 10:22:27.809,2646.87,2604.63,2590.11
239,2022-04-28 10:22:38.169,2646.94,2604.63,2590.11
240,2022-04-28 10:22:48.482,2647.0,2604.63,2590.11
241,2022-04-28 10:22:58.779,2647.07,2604.63,2590.11
242,2022-04-28 10:23:09.029,2647.14,2604.63,2590.11
243,2022-04-28 10:23:19.405,2647.21,2604.63,2590.11
244,2022-04-28 10:23:29.734,2647.28,2604.63,2590.11
245,2022-04-28 10:23:40.031,2647.35,2604.63,2590.11
246,2022-04-28 10:23:50.375,2647.42,2604.63,2590.11
247,2022-04-28 10:24:00.673,2647.48,2604.63,2590.11
248,2022-04-28 10:24:11.001,2647.56,2604.63,2590.11
249,2022-04-28 10:24:21.267,2647.62,2604.63,2590.11
250,2022-04-28 10:24:31.565,2647.69,2604.63,2590.11
251,2022-04-28 10:24:41.940,2647.76,2604.63,2590.11
252,2022-04-28 10:24:52.237,2647.83,2604.63,2590.11
253,2022-04-28 10:25:02.535,2647.9,2604.63,2590.11
254,2022-04-28 10:25:12.863,2647.97,2604.63,2590.11
255,2022-04-28 10:25:23.176,2648.04,2604.63,2590.11
256,2022-04-28 10:25:33.474,2648.1,2604.63,2590.11
257,2022-04-28 10:25:43.787,2648.18,2604.63,2590.11
258,2022-04-28 10:25:54.115,2648.24,2604.63,2590.11
259,2022-04-28 10:26:04.428,2648.31,2604.63,2590.11
260,2022-04-28 10:26:14.741,2648.38,2604.63,2590.11
261,2022-04-28 10:26:25.023,2648.45,2604.63,2590.11
262,2022-04-28 10:26:35.367,2648.52,2604.63,2590.11
263,2022-04-28 10:26:45.680,2648.59,2604.63,2590.11
264,2022-04-28 10:26:56.009,2648.66,2604.63,2590.11
265,2022-04-28 10:27:06.291,2648.73,2604.63,2590.11
266,2022-04-28 10:27:16.557,2648.79,2604.63,2590.11
267,2022-04-28 10:27:26.948,2648.87,2604.63,2590.11
268,2022-04-28 10:27:37.261,2648.93,2604.63,2590.11
269,2022-04-28 10:27:47.558,2649.0,2604.63,2590.11
270,2022-04-28 10:27:57.871,2649.07,2604.63,2590.11
271,2022-04-28 10:28:08.184,2649.14,2604.63,2590.11
272,2022-04-28 10:28:18.497,2649.21,2604.63,2590.11
273,2022-04-28 10:28:28.795,2649.28,2604.63,2590.11
274,2022-04-28 10:28:39.123,2649.35,2604.63,2590.11
275,2022-04-28 10:28:49.452,2649.42,2604.63,2590.11
276,2022-04-28 10:28:59.749,2649.48,2604.63,2590.11
277,2022-04-28 10:29:10.062,2649.56,2604.63,2590.11
278,2022-04-28 10:29:20.375,2649.62,2604.63,2590.11
279,2022-04-28 10:29:30.704,2649.69,2604.63,2590.11
280,2022-04-28 10:29:41.001,2649.76,2604.63,2590.11
281,2022-04-28 10:29:51.299,2649.83,2604.63,2590.11
